flight_id,flight_number,origin_airport_id,destination_airport_id,airline_id,plane_id
385d1efa,AF267,RKSI,LFPG,AFR,A359
385d1f0b,SQ308,WSSS,EGLL,SIA,A388
385d1fca,OZ222,RKSI,KJFK,AAR,A359
385d2025,AC34,YSSY,CYVR,ACA,B77L
385d2039,AM91,RKSI,MMMX,AMX,B788
385d2046,KE281,RKSI,CYYZ,KAL,B77L
385d2088,NH211,RJTT,EGLL,ANA,B77W
385d2123,LX189,ZSPD,LSZH,SWR,A343
385d23b1,3S517,VHHH,EDDP,DHK,B77L
385d23b8,AC36,YBBN,CYVR,ACA,B789
385d246b,QR726,KORD,OTHH,QTR,B77W
385d2532,CA897,ZBAA,LEMD,CCA,B789
385d253c,KE81,RKSI,KJFK,KAL,B748
385d2572,QR708,KIAD,OTHH,QTR,B77W
385d25c7,DE2369,VTSP,EDDF,CFG,A339
385d2715,AC46,CYYZ,VABB,ACA,B789
385d283b,5Y4541,KLAX,ZSQD,GTI,B744
385d290c,SQ32,WSSS,KSFO,SIA,A359
385d291f,MF849,ZSFZ,KJFK,CXA,B789
385d295f,CX126,NZCH,VHHH,CPA,A35K
385d2b03,KE93,RKSI,KIAD,KAL,B77W
385d2b38,EK220,KMCO,OMDB,UAE,B77W
385d2b99,EK236,KORD,OMDB,UAE,B77W
385d2bf8,QF27,YSSY,SCEL,QFA,B789
385d2d67,UA1122,KEWR,FACT,UAL,B789
385d2fd8,NH223,RJTT,EDDF,ANA,B789
385d2fe3,OZ501,RKSI,LFPG,AAR,A359
385d3080,KE31,RKSI,KDFW,KAL,B789
385d3085,JL407,RJAA,EDDF,JAL,B789
385d30b9,NH102,RJTT,KIAD,ANA,B788
385d30eb,UA190,RPLL,KSFO,UAL,B77W
385d31a6,LH715,RJTT,EDDM,DLH,A359
385d31a8,QR768,CYYZ,OTHH,QTR,B77W
385d344e,FX5432,KMEM,PANC,FDX,B77L
385d34ef,AA7,KDFW,YBBN,AAL,B789
385d352e,KL898,ZBAA,EHAM,KLM,B789
385d3634,KE907,RKSI,EGLL,KAL,B77W
385d3691,CI5311,PANC,RCTP,CAL,B77L
